date,symbol,market_name,open_interest,comm_long,comm_short,comm_net,cot_index_26w,cot_index_52w,zero_line,bias
2024-10-01,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2092048,1488154,1580377,-92223,41.9,27.3,sell,neutral
2024-10-01,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,239651,133690,160554,-26864,34.9,43.7,sell,neutral
2024-10-01,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,451559,324403,357919,-33516,2.8,2.7,sell,bear
2024-10-01,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,89570,49331,67963,-18632,19.7,11.7,sell,bear
2024-10-08,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2144160,1517097,1602311,-85214,45.0,29.3,sell,neutral
2024-10-08,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,257025,142601,167110,-24509,40.6,48.7,sell,neutral
2024-10-08,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,443408,322420,340899,-18479,17.4,16.5,sell,bear
2024-10-08,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,84731,48713,64556,-15843,32.7,15.7,sell,bear
2024-10-15,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2199693,1524500,1653022,-128522,26.1,17.0,sell,bear
2024-10-15,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,249104,148828,161331,-12503,69.8,73.9,sell,neutral
2024-10-15,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,455216,317476,356491,-39015,0.0,0.0,sell,bear
2024-10-15,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,91117,49858,65588,-15730,33.2,15.8,sell,bear
2024-10-22,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2201296,1516634,1632724,-116090,17.1,20.5,sell,neutral
2024-10-22,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,254792,150208,163136,-12928,68.7,73.0,sell,neutral
2024-10-22,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,442593,317663,351058,-33395,5.3,5.0,sell,bear
2024-10-22,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,91035,48586,62979,-14393,39.4,17.8,sell,bear
2024-10-29,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2184936,1478676,1655226,-176550,0.0,3.3,sell,bear
2024-10-29,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,267750,153750,169743,-15993,61.3,66.6,sell,neutral
